Identifiant;Quartier;Amenagement cyclable
1;Centre Ville;21548,7
2;Bellevue - Chantenay - Sainte Anne;22597,3
3;Dervallières - Zola;4403,09
4;Hauts Pavés - Saint Félix;30522,9
5;Malakoff - Saint-Donatien;28078,6
6;Ile de Nantes;32398,2
7;Breil - Barberie;16718,2
8;Nantes Nord;22945,8
9;Nantes Erdre;31816,2
10;Doulon - Bottière;48780,2
11;Nantes Sud;15508,3
14301;Trentemoult;7854,51939
14302;Hôtel de Ville;4808,84936
14303;Château de Rezé;6371,53907
14304;Pont Rousseau;7628,89349
14305;La Houssais;9288,95165
14306;Blordière;4688,33283
14307;Ragon;13172,9418
